user,location,text,sentiment,probability
EnricBarba,Gava(Barcelona),"entrevista a alberto mantovani, immunologo, dtor cientifico de un centro en milan, colaborador de la univ. de wuhan… twurl",Positivo,80
carolinasimo_,Spain,** italia reabre el comercio pese a las restricciones: la twhashtag vuelve a operar**esperemos que en twhashtag twurl,Positivo,84
MaraInsCarrill1,,twhashtag ⚕ anotalo 📝 y tomalo en cuenta ✔️ el agua caliente destruye el twhashtag twhashtag 🦠 ok 😉 comparte… twurl,Positivo,87
EFEMexico,México,twhashtag mexicanos son agredidos por ciudadanos por miedo al twhashtag,Positivo,74
AleteiaES,,"un hermoso mensaje de la iglesia a los periodistas, a proposito de su labor en tiempos de coronavirus… twurl",Positivo,79
StrayCats1974,"Girona, Cataluña (Spain)",para cuando un lazo negro 🖤 para todas las victimas del twhashtag y dejar de machacar tanto los cerebros. ya nos ima… twurl,Positivo,69
SecPrensaSV,El Salvador,"""no nos dejemos guiar por informacion falsa y mitos sobre el twhashtag cumplamos con la cuarentena domiciliar, dist… twurl",Positivo,80
cessanca,Ciudadano del mundo.Valladolid,esta pregunta no tiene cabida en un estado democratico.dice todo del gobierno de españa y los actos de tutela que… twurl,Positivo,51
sanseronies,"La Cabrera, España",segunda parte del turno intensivo de  horas/dia.esta vez solo una semana..y con premios asi.. twhashtag twurl,Positivo,90
EdgarCedric2,,twhashtag ⚕ anotalo 📝 y tomalo en cuenta ✔️ *el agua caliente destruye el twhashtag twhashtag 🦠 ok 😉 compar… twurl,Positivo,88
INPImx,Venustiano Carranza,"algunas mujeres y niñas indigenas podrian estar en riesgo durante la situacion que hoy vive el pais, en la que es n… twurl",Positivo,66
SecPrensaSV,El Salvador,el cargamento recibido por el ministro de twmention twmention y la comisionada presidencial  twmention co… twurl,Positivo,90
AcelerandoEcu,Quito-Ecuador,twhashtag fabricas de autos retoman de a poco sus actividades en europa. en los paises se analiza levanta… twurl,Positivo,81
MaikGarcia5,AT HOME 🏡 ,que poca. 🤬 😤 😡camilleros eventuales del isste protestan para exigir insumos ante twhashtag twurl,Positivo,83
VitoSeguraC,,"sacado de fb. no le tengamos miedo a una twhashtag no se trata de que congelar todo y que nadie salga, sino… twurl",Positivo,66
50Trabajadores,"La Habana, Cuba.",twhashtag el consejo de defensa provincial de twhashtag declaro en vigilancia incrementada los consejos populares… twurl,Positivo,91
paobarquet,México,"omar garcia harfuch, dio a conocer que dos oficiales fallecieron a causa de twhashtag y  mas han dado positivo. twurl",Positivo,85
LUCA_ccbel,en camino.....,twmention dia tras dia en el aislamiento twhashtag las estructuras del twmention dan muestras de lo poco art… twurl,Positivo,90
aguaspues,"Colombia, Brasil, Argentina",esperando que twmention de la buena noticia para comprar la nueva edicion de psp para mientras encuentran la vacuna para el twhashtag,Positivo,95
MatanteJu,Quebec city  🇨🇦,twmention twmention real data. twhashtag  twhashtag twurl,Positivo,96
QuadratinR,"Quintana Roo, México",twhashtag twhashtag twhashtag 📣piden garantizar derechos en aplicacion de restricciones por covid 📣twurl,Positivo,89
lajornadaonline,México,"twhashtag fieles asisten a la iglesia de santo domingo, en la twhashtag aunque no haya misa por la… twurl",Positivo,89
victormtzlucio,Monterrey NL,"ultima hora: automovilistas que vayan acompañados por mas de una persona podrian ser detenidos, informa la secretar… twurl",Positivo,74
blancopabloda,Tierra del Fuego,🖥#videoconferencia: expone el ministro de salud twmention en la comision de twhashtag del twmention para in… twurl,Positivo,91
mayaoviedo,Quisqueya,"lo peor es que, por mas duro que nos parezca esto, siempre podria ser peor. el aislamiento y el encierro son para e… twurl",Negativo,73
mezagutierrez,Cd. De Mexico,lo que hace el twhashtag 👇🏼👇🏼 twurl,Positivo,91
dios_enoc,"San Luis, Argentina","no es joda el twhashtag , muchos lo toman a la ligera,.pero es mas grave de lo que se piensa.  recien vamos a estar… twurl",Positivo,88
AlejandroRayran,,". lo que haria pensar en crear un orden mundial multipolar, como lo ha pensado e intentado realizar rusia y china.… twurl",Positivo,71
silag31,,"twmention esas son las decisiones de eeuu que los vzlnos apatridas le gustaria que se aplicara en el pais, ta… twurl",Positivo,80
R2D2DVO,Donde nacio Venezuela,de confirmarse la verdad sobre el twhashtag al regimen comunista  twhashtag y el pleno de la twmention deben desaparecerlos… twurl,Positivo,92
Rey_Mendoza_,Deseando regresar a Sevillla,twmention claro. no pensarias que iban a perseguir a los responsables de permitir que españa sea el pais con mayo… twurl,Positivo,76
xevtfm,"Villahermosa, Tabasco, México",twhashtag por la pandemia de twhashtag la alcaldesa de twhashtag twmention anuncio que los funcionarios des… twurl,Positivo,91
AnaMafud,"Monterrey, Nuevo León",casos twhashtag en twhashtag : twurl,Positivo,91
merimercurly,"Torrejón de Ardoz, España","un baño de espuma bien calentito, vino, cigarros, uno enfrente del otro y que encima te haga un masaje en los pies.… twurl",Positivo,77
sosciudadanos,,⚫️el gobierno pide otro prestamo de . millones para pagar las pensiones twhashtag twhashtag twurl,Positivo,68
Vive_USA,,la agencia gubernamental dijo en un comunicado que no se ha aprobado ningun medicamento relacionado al twhashtag twurl,Positivo,80
ApexPredator_35,"Memphis, TN",amirite? twhashtag twhashtag twhashtag twurl,Positivo,93
TiempoyFormaCHS,,"twhashtag sube a  los casos positivos de twhashtag en chiapas. entre los nuevos casos, se encuentra una menor de eda… twurl",Positivo,84
Joliepupe,"Quito, Ecuador",y seguro muchos de ellos seran lo que se quejan que en twhashtag hayan adecuado un hospital con apoyo del twmention twurl,Positivo,95
drfior,"Buenos Aires, Argentina","el twhashtag twhashtag debera extenderse hasta , segun un twhashtag de twhashtag twhashtag y twhashtag twurl",Positivo,90
Soyarrupemisse1,,fuerte abrazo para mis niños y niñas de quinto año de vida. ''a' 🤗😇 y otro para la familia arrupe 😇🤗 twhashtag twurl,Positivo,93
DrHectorLeon,"Bogotá, D.C., Colombia",twhashtag twhashtag dos medicos fallecen por covid- en colombia twurl,Positivo,89
DELFOSproyecta,México,la cifra oficial de defunciones de ayer revela el retraso de reportes de muertes por twhashtag la incertidumbre… twurl,Positivo,78
fdavaloso,Made in San Francisco de Quito,😕 ¡asi esta la industria de los eventos con el twhashtag en el mundo!sera en . twmention twhashtag twhashtag twurl,Positivo,95
Cicpc444,Avenida Urdaneta.,"|con la conciencia de nuestro pueblo y la accion efectiva de la union civico, militar y policial, se lograra corta… twurl",Positivo,77
E13e12,"Morelia, Michoacán de Ocampo",con esta en la contingencia y robandole las cesareas ! twhashtag  twhashtag twhashtag 🙃🙂😅😊🤓😎 twurl,Positivo,91
CONUEE_mx,"Álvaro Obregón, México D.F.","es momento de cuidar nuestra salud, y nuestra economia por eso, es importante que todos twhashtag hagan uso eficiente… twurl",Positivo,84
televertv,"Veracruz, Mexico.",este es el panorama del twhashtag en el mundo twurl twurl,Positivo,92
HoyCDMX,Ciudad de México,turistas que no respetaron contingencia por twhashtag nadan junto a tiburon en playa de twhashtag 🦈 twurl,Positivo,89
ieee_mhidalgo,,segun un estudio de twmention las fuerzas armadas y los cuerpos de seguridad son las instituciones en españa que mejo… twurl,Positivo,75
SinergiaOsorno,,"📢hoy en twhashtag conversaremos con el consejero regional, alexis casanova, sobre los diversos recursos a i… twurl",Positivo,88
MVSNoticias,"ÜT: 19.466002,-99.168275",la twmention hizo un llamado a las autoridades del centro penitenciario y de reinsercion social de twhashtag implemen… twurl,Positivo,86
Avendano_cr,"Heredia, Costa Rica",esto es como cuando la persona que uno admira le tuitea. twmention tuiteo nuestro especial de datos sobre el… twurl,Positivo,88
essencialis,"Barcelona, España","los cambios vienen acompañados de miedo, miedo a lo desconocido, a tomar decisiones sin respuestas programadas, val… twurl",Positivo,49
HoyEstado,México,turistas que no respetaron contingencia por twhashtag nadan junto a tiburon en playa de twhashtag 🦈 twurl,Positivo,89
Proiuris_Ve,"Caracas, Venezuela","twhashtag | twmention amplia ancho de banda de su red wifi social en  hospitales,  de ellos centinelas, durante… twurl",Positivo,88
GonzaloMorenoW,"Río de Janeiro, Brasil","un trabajador de twhashtag muere por twhashtag y en las noticias na y menos.nos vamos a la mierda, sin libertad de… twurl",Positivo,85
tems2019,,madera como conductor? twurl twhashtag twhashtag twhashtag twhashtag twhashtag twurl,Positivo,93
IP_EdnaCastillo,"Fiel a lo Relevante CDMX, HGO ",sera obligatorio usar cubrebocas en el metro a partir del viernes. twhashtag  twhashtag twurl via twmention,Positivo,90
fosdeh,Tegucigalpa,"🚨 panorama economico para twhashtag 🚨lic. ismael zepeda, vocero del twhashtag a un mes de la emergencia por el… twurl",Positivo,88
alechaveztecdmx,Ciudad de México,"la revista twmention publico un texto en el que analiza por que los paises liderados por mujeres, han gestionado mejo… twurl",Positivo,82
Betianapohl,,"vergonzoso twmention deben garantizar los tratamientos, sobretodo a chicos con discapacidad, son sus derechos.… twurl",Positivo,80
cesarmoz,Chile 🇨🇱,"una panaderia que se llame ""pan demia"".eso, ya chao twhashtag",Positivo,74
BleNCitaMu,,que triste saber que ecuador no cuenta con fondos de emergencia ante esta situacion. twhashtag,Negativo,50
Mike_Danger,Paradise City,el mejor cubre bocas no exis.. 😷#quedateencasa twhashtag twhashtag twurl,Positivo,94
Recon_Col,Colombia,"twhashtag  🎨#colombiasoluciona exalta al colectivo ""la cuadra bacana"" quienes trabajan por el desarrollo… twurl",Positivo,84
RebelarteRadio,"Barquisimeto, Estado Lara.","twhashtag la directora de salud publica de la twhashtag maria neira, advirtio que twhashtag aun no esta en condiciones par… twurl",Positivo,87
KeywordCA,Centroamérica ,fmi proyecta fuerte impacto en la economia  a causa del covid-. twhashtag twhashtag twhashtag twurl,Positivo,89
DiarioTiempo,Honduras,twurl - fetccop y atic investigan compras de emergencia que realizo copeco. twhashtag twurl,Positivo,88
AvstClothing,,ya estan nuestros descargables! no te los pieerdas!😈#covid twhashtag twhashtag twhashtag twurl,Positivo,90
PueNoticias,"Puebla, México","👩‍💻📲 la importancia de supervisar tiempo de adolescentes en redes sociales, principalmente durante la cuarentena po… twurl",Positivo,84
HumbertoSurezG2,,twhashtag twmention twhashtag el presidente de la federacion rusa tomando medidas para que su… twurl,Positivo,95
Elatabal1979,Nicaragua,twhashtag twhashtag en nicaragua twmention twmention twmention twurl,Positivo,96
mbergliaffa,,twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag avanzan en las… twurl,Positivo,91
CesarAlomoto,Ecuador,"mientras tanto, despues de todos los despidos de twhashtag twhashtag twhashtag twhashtag twhashtag twurl",Positivo,90
BlogDelRegio,México,aqui la grafica comparativa de casos diarios y acumulados de coronavirus en nuevo leon. 🦠😷#nuevoleon twhashtag twurl,Positivo,88
ABCCardinal,Paraguay,"twhashtag ""el efecto domino del twhashtag no se podia esperar, esto es a nivel mundial, el sector turismo, desd… twurl",Positivo,87
juniorr2015,"Barinas, Venezuela",ecuador se acerca a los . contagiados y  muertos oficiales twhashtag twhashtag twurl,Positivo,83
careonsafety,España,noticias de actualidad destacadas sobre la twhashtag del twhashtag twhashtag el ex presidente twhashtag «… twurl,Positivo,92
AravenaNieves,"Santiago, Chile","vean este interesante informe, con graficos y datos de evolucion del twhashtag en chile. twurl",Positivo,84
regionaldelsur,México,invitan a denunciar a quienes agredan a personal medico twurl twhashtag twurl,Positivo,87
Erick_Carreros,"San Salvador, El Salvador",en new yersey ya estan haciendo pruebas de twhashtag por medio del salibado.sin hacer el izopado comun. esto es mu… twurl,Positivo,73
Karmelasoy,,"muy certero hoy guitarte en el congreso:""calma, dijo el medico. en una epidemia no hay culpables. todos son victima… twurl",Positivo,77
EdnaJaramillotv,Panamá,"""se puede aprovechar el intervalo en la hora de  a  pm para salir, hacer ejercicios, caminar y evitar comer mucho… twurl",Positivo,55
Daniel_RiosVE,Venezuela / USA,twhashtag hoy se cumple un año del voraz incendio de la catedral de notre dame en paris-francia. este simbolo arquitec… twurl,Positivo,86
c_campozano,,dia  del twhashtag recien puedo decir que me siento mejor.  he quedado super debil y sensible a todo twhashtag me has enseñado tanto,Positivo,86
Salud_CZ9,Ecuador,"twhashtag || el personal del centro de salud carapungo , imparten charlas preventivas educativas frente al twhashtag a… twurl",Positivo,83
pablonegri,Planet Earth,"expresion facial propia (no tocarse el rostro, ""caduca"") al constatar insistencia de sectarios con fracasados dogma… twurl",Positivo,74
MaikaSpain,Altetico Madrid,twhashtag twhashtag  lo dices por ti y tu grupi?.. twurl,Positivo,90
jorgeecamperos,Caracas, casos que muy seguro no apareceran en las estadisticas que dan los hermanos rodriguez. asi como no aparecieron lo… twurl,Positivo,75
corphumanas,Chile,🚨hoy twmention discute  twhashtag para extender el permiso postnatal durante el periodo de estado de… twurl,Positivo,94
juancanavarro,Panamá,diputada yanibel abrego cuestiona legalidad de lo actuado y exige rendicion de cuentas sobre los gastos por… twurl,Positivo,66
lacometcr,"San Pedro, Montes de Oca. CR.","el dia de hoy, entregamos  mascarillas para el personal de salud, en aporte solidario del lacomet para enfrentar… twurl",Positivo,84
sosciudadanos,,el gobierno confisca el material sanitario que iba dirigido a proteger a los farmaceuticos: ha habido incautaciones… twurl,Positivo,68
egonzalez314,"Santiago de Compostela, España","guindos coincide con iglesias: ""es necesario una renta minima, de emergencia y claramente temporal""#rentabasica… twurl",Positivo,68
FelipeSanchezfs,Bogotá - Colombia ,el mundo esta en crisis por twhashtag y twhashtag pero ustedes no estan preparados para esta discusion.,Positivo,55
iideuabc,"Ensenada, Baja California",twhashtag la fabricacion de barreras faciales protectoras para el personal del area de salud es uno de los… twurl,Positivo,82
Noticiasalsur1,"Neiva, Colombia","twhashtag  de los infectados con twhashtag  en neiva ya se han recuperado, tres han fallecido y se esta esperando… twurl",Positivo,88
Superantipatico,"Cogna, France",es increible lo que acabo de leer en mi portal. me alude directamente. twhashtag twhashtag twhashtag twurl,Positivo,93
CismaaTz,,mitos del nuevo coronavirus covid-recuerda mantenerte informado twhashtag twhashtag twurl,Positivo,92
Informa_EC,Ecuador,"twhashtag 🇵🇪#covid ◾️ . casos confirmados🚻 masculino ,% - femenino ,%◾️ . personas dadas de alta… twurl",Positivo,80
EnCambioQRoo,"Quintana Roo, México","en twhashtag hasta las  horas del  de abril, se han notificado  casos negativos,  en estudio,  posi… twurl",Positivo,82
CCHABOGADOS,,"twhashtag “#covid como accidente de trabajo segun el twhashtag twhashtag twhashtag ante cualquier duda legal,… twurl",Positivo,88
Salud_CZ9,Ecuador,twhashtag el centro de salud guayllabamba distrito de en trabajo interinstitucional comunicando a sus habitantes… twurl,Positivo,87
AsiVzlanOficial,,🛑asv noticias🛑youtuber venezolano david show con twhashtag podria ir a la carcel en mexico por no respetar cuarenten… twurl,Positivo,78
ppalcorcon,"Alcorcón, Comunidad de Madrid",mañana twmention  en twmention  twhashtag twmention twurl,Positivo,97
Ovaciondigital,Montevideo,"twhashtag  | el drama de walter montillo: perdio a su padre y a su abuelo, y ahora la madre tiene coronavirus twurl",Positivo,81
UNICEFParaguay,"Asunción, Paraguay",ademas de lavarnos las manos como medida de prevencion del twhashtag no olvides que es importante desinfectar superf… twurl,Positivo,83
Rodrigo31415,Berlin,twmention religion  versos twhashtag ,Positivo,91
EducacionZ6_Ec,Ecuador,mañana| sigue la agenda de medios del coordinador de educacion zonal  twmention informara sobre los avances de… twurl,Positivo,85
sofish81,"Sabadell, Cataluña","de plaza publica en residencia hace  años, ahora ""encerrado"" en residencia privada con mas de  positivos en… twurl",Positivo,69
cubaonline85,,la via que encontramos porque el twhashtag  impide la compra de ventiladores pulmonares a twhashtag para garantizar… twurl,Positivo,84
ImagenTVMex,,¿que hay que saber en materia laboral sobre la contingencia por twhashtag esto es lo que opina el doctor alfredo sa… twurl,Positivo,71
r_guzman74,,"alarma en hospital aleman: extraoficialmente  muertos por neumonia ""atipica"" y hay mas ingresos por coronavirus.… twurl",Positivo,65
LSanidadPublica,"León, España",el estremecedor testimonio de un leones que cuenta como sobrevivio al twhashtag el  de marzo y no le aten… twurl,Positivo,83
Hpubulla,,mail publicitario o publicidad engañosa 😂 twhashtag twhashtag twhashtag twurl,Positivo,91
indesla,"Biar, España",estamos encantados de poder explicar y llevar a cabo estos desarrollos para afrontar el twhashtag 👏👏 twmention pla… twurl,Positivo,91
Reporte_Indigo,CDMX / Guadalajara / Monterrey,en medio de la pandemia de twhashtag apple lanzo el nuevo iphone se. conoce todo sobre el smartphone 'economico' que… twurl,Positivo,90
_LuzMarina,,"si se hiciesen tests masivos del twhashtag ..el camino seria mas seguro, en todos los sentidos !",Positivo,80
GMALFARO,Santa Fe,"el twmention mediante un convenio, hara uso de las instalaciones del sanatorio sagrada familia, por el tiempo que… twurl",Positivo,89
RandyAlonsoFalc,,"segun trump la culpa de las  mil muertes en eeuu la tiene la oms, no su mala gestion, ni la inequidad, ni un sist… twurl",Negativo,62
RomeritoBar,,twmention si en estos dias llego a ver un video de carmen lomana decir que ella se siente mas proxima a los… twurl,Positivo,85
BarzonNacional,México,hoy mas que nunca es necesario apoyar el plan de recuperacion economica que ha anunciado el gobierno mexicano ante… twurl,Positivo,70
bidebieta,Basauri,"👉la basauritarra rosa renedo, que colabora con bizitu elkartea, conoce de primera mano las “gravisimas” circunstanc… twurl",Positivo,78
noenviolinksxdm,,para esto votas? de que ha servido? para que una banda de inutiles cobre un sueldo por no hacer nada mientras miles de… twurl,Positivo,67
elcomerciocom,Ecuador,twhashtag | los datos de las personas contagiadas con twhashtag y como se han desplazado en twhashtag ¿que nueva tarea… twurl,Positivo,92
AgenciaSien,"Ciudad del Carmen, Campeche.",llegan a la isla  petroleros sospechosos de twhashtag twhashtag la noche de este martes y mañana de miercol… twurl,Positivo,94
MaikaSpain,Altetico Madrid,"twhashtag twhashtag  no puedo entender que este siga en twitter, otros por muchism menos han desaparecido por cierto veo con g… twurl",Positivo,79
PacoBenicalap,"Valencia, España",grande twmention con una vision acertadisima sobre el confinamiento por el twhashtag 👌👏👏. twhashtag twurl,Positivo,94
godoyhoyos,,conozca la modificacion de la resolucion  y otras medidas respecto de los tramites que se adelantan ante la… twurl,Positivo,75
lmontoya,Santander,episodio  de diario de una pandemia twhashtag twhashtag  twurl,Positivo,91
SAI_org,"Córdoba, Argentina",en un ratito empezamos!! twhashtag twmention twurl,Positivo,96
AleLe_v,En Algún Lugar,yo no puedo creer que en las clinicas y hospitales no hayan pabellones aislados para enfermos y que no corran riesg… twurl,Positivo,73
TwitPregunta,Dominican Republic,"esta de acuerdo con un toque de queda  twhashtag por  dias en twhashtag por el twhashtag ,",Positivo,85
ZARYLUA,"Vigo,Barcelona,España ",mismamente..👇😁#covid twhashtag twhashtag twurl,Positivo,92
andresonzaga,,solicitamos a alcaldesa twmention y twmention que estas familias conformadas por varios adultos mayores y… twurl,Positivo,85
AnibalGarzon,Barcelona,"irak lleva  años padeciendo una epidemia como twhashtag donde mueren iraquies cada dia, el virus del imperialismo… twurl",Positivo,75
josebrachoPPT,VENEZUELA,twhashtag patria para todos(p.p.t) saluda y felicita al presidente twmention  y a la ing.… twurl,Positivo,92
ExpresionSon,Sonora,sanitiza twmention a hospital general de twhashtag anuncia alcalde twmention labores similares en otros hos… twurl,Positivo,93
julioacosta1701,Habana. Cuba ,el mundo necesita democratizar el consejo seguridad twhashtag twhashtag retira fondos twhashtag deja morir miles hombres por… twurl,Positivo,87
neljulger,Venezuela,en twhashtag alcalde twmention  disposiciones del pdte twmention gob twmention se lleva a… twurl,Positivo,93
byUrii14,,videos de ovnis? twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag twhashtag twurl,Positivo,91
camilaandreabd,"Barranquilla, Colombia",mi abuelita ya se volvio toda una experta haciendole ropas a carlota! y ella los luce muy engreida 😳😳… twurl,Positivo,81
HaranValer,"Midtown, Houston",ahora | aqui puedes revisar informacion actualizada del crecimiento de casos confirmados de twhashtag en twhashtag y… twurl,Positivo,86
ElOroCJ,Machala - Ecuador,servidores judiciales y partes procesales cumplen con el protocolo de emergencia twhashtag en la unidad judicial mu… twurl,Positivo,80
PrinsoHC,"Austin, TX",twhashtag de twhashtag para twhashtag del twhashtag y terminar con la twhashtag twurl,Positivo,92
FundAragua_Gob,"Maracay, Venezuela",twhashtag  nuestro gob twmention  continua ejecutando los lineamientos de nuestro pdt twmention  con la li… twurl,Positivo,92
ValledelMayo,"Navojoa, Sonora",abre bomberos navojoa area de descontaminacionpara evitar que paramedicos lleven el covid- a las instalaciones… twurl,Positivo,72
juniorr2015,"Barinas, Venezuela",nacio un bebe con coronavirus en peru twhashtag twhashtag twhashtag twhashtag twhashtag #,Positivo,88
JuanPlogic,"Almería, España",de haberse llevado a cabo la manifestacion del dia de la mujer twhashtag y la asamblea de twhashtag  en twhashtag en españa… twurl,Positivo,87
Marielasvmx,Monterrey,twhashtag estar informados sobre el avance del brote de twhashtag es muy importante y necesario para tomar las me… twurl,Positivo,90
DanielUribeF,"Veracruz, Mexico",ensayos clinicos adecuados pronto confirmaran o refutaran utilidad de farmacos candidatos a tratamiento de twhashtag twurl,Positivo,83
OperaActual,Barcelona,twhashtag se queda sin twhashtag hasta septiembre el gobierno de twhashtag prohibe todos los espectaculos hasta e… twurl,Positivo,88
IbonGutierrez,Madrid ,italia y argentina han planteado un impuesto para gravar a las rentas altas para luchar contra los efectos del… twurl,Positivo,60
BlogDelRegio,México,"de los  casos confirmados de covid- en nuevo leon,  por ciento son hombres y el  por ciento restante son m… twurl",Positivo,82
YariRivas6,,caramba!!como quisiera esta cuarentena en la casa de mi abuela jugando domino trapeao!! twhashtag twhashtag,Positivo,85
TES_PUBLICOS_YA,España,despedida del compañero twhashtag antonio por sus compañeros .que no tengamos que ver ninguna despedida de nadie mas.… twurl,Positivo,90
tawyteixeira,"Montevideo, Uruguay","estamos atravesando una desafiante etapa, como nunca antes lo habiamos hecho! te adaptas o te estancas? vamos!!💪🏻😉… twurl",Positivo,83
OvandyCamilo,Republica Dominicana,"los muertos que aparecieron en la orilla del mar en libia, no son por coronavirus segun este reporte.  _… twurl",Positivo,58
latfemnoticias,América Latina y el Caribe,twhashtag | la twhashtag permite ver hasta que punto el capitalismo etiqueto todos los rincones del mundo… twurl,Positivo,92
coahuilaenlinea,Coahuila,twhashtag instalan  modulos luego de que el alcalde twmention anunciara el apoyo alimentario que se brindara a… twurl,Positivo,95
La_docdefamilia,,que dice twmention que ahorita lo importante es ver como los famosos usan sus seguidores en twhashtag en su con… twurl,Positivo,91
EmbCanParaguay,"Buenos Aires, Argentina",twurl  el gobierno de canada esta comprometido en proporcionar informacion precisa y basada en pr… twurl,Positivo,76
elespanolcom,Madrid,twhashtag y twhashtag anuncian fondos para defender la twhashtag de la crisis del coronavirus twurl twhashtag,Positivo,80
joseluismontana,Chile ,"twmention twmention twmention muchisimas gracias por tu valioso aporte, fue muy importante. una de las… twurl",Positivo,97
CanalCaribeCuba,Cuba,"twhashtag 📺 | fabiana dadone, ministra de la administracion publica de twhashtag califico de extraordinario ejemp… twurl",Positivo,82
CNTAMAULIPAS,,twhashtag twhashtag twhashtag alcalde mario lopez a matamorenses seguir acatando medidas de prevencion contra… twurl,Positivo,91
xabatis,Panamá,"""#california apoyara con pagos en efectivo de $ dolares a inmigrantes ilegales afectados por la pandemia de… twurl",Positivo,69
ImagenTVMex,,el gobierno de guerrero plantea dar creditos a pequeñas y medianas empresas afectadas por la crisis sanitaria del… twurl,Negativo,75
euAnaLopez,Pontevedra,"muy duro el programa de hoy, twmention he odiado mucho a este virus por ensañarse con nuestros mayores, pero ahora… twurl",Positivo,86
50Trabajadores,"La Habana, Cuba.","ratifican que twhashtag tiene las pruebas para pcr y test rapidos para enfrentar el pico de los confirmados, y a pesar… twurl",Positivo,81
ElenitaCabeza,"Toledo, Spain","grandes ventajas de acudir al twhashtag en el mes de twhashtag en twhashtag -alumnado agotado, no descansa-el profesor… twurl",Positivo,90
QuadratinY,,el documento indica que se recanalicen los montos contemplados al saneamiento de los daños que resultan prioritario… twurl,Positivo,76
POCHY1971,Galicia,intereses economicos por encima de la salud. va a respetar el twmention las recomendaciones del twmention para… twurl,Positivo,88
anamorenomarin,Zaragoza,"este twhashtag nos deja unas historias tan bonitas.. siempre acaba triunfando el amor.. no es positivismo barato,… twurl",Positivo,84
gabopalmaojeda,"Vicuña, Chile","casos covid- en twhashtag 🇨🇱 hoy es de . casos. segun ecuaciones reformuladas, al jueves  de abril proyecta lo… twurl",Positivo,79
cubacooperaveNE,Nueva Esparta,brigada medica cubana en nueva esparta: nuestros medicos dia a dia realizando pezquiza en lucha continua contra la… twurl,Positivo,84
889Noticias,Ciudad de México,china cierra hospital emergente de twhashtag tras disminuir drasticamente casos de twhashtag en el pais asiatico.vl,Positivo,69
Colmedchillan,Chillán,cada gesto se suma para fortalecer la twhashtag del twhashtag no olvides el uso obligatorio de twhashtag en el… twurl,Positivo,89
Ojo_Publico,"Lima, Perú",twhashtag el hospital twmention de twhashtag informo que personal de salud atendio el nacimiento del primer… twurl,Positivo,93
TierrActivaPeru,,lxs jovenes organizados del peru se manifiestan frente a la emergencia sanitaria que atraviesa el pais por el… twurl,Positivo,68
fernandomunioz7,Worldwide - Peru,twmention muchisimas gracias david lo compartosaludos y espero que el twhashtag se mantenga bien lejos de tu casa,Positivo,97
